A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
,59.67,1.54,2.0,1.0,,8.0,0.125,,,,1.0,0.0,00260,0.0,0
2.0,,,2.0,1.0,11.0,6.0,0.21,,0.0,,0.0,0.0,00200,40.0,0
2.0,37.58,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,1.0,,0.0,0
2.0,32.33,2.5,2.0,1.0,2.0,8.0,1.25,0.0,0.0,0.0,1.0,0.0,00280,0.0,1
,18.08,6.75,3.0,3.0,10.0,8.0,0.04,0.0,0.0,0.0,0.0,0.0,00140,0.0,1
2.0,38.25,,3.0,3.0,,,0.125,0.0,0.0,0.0,0.0,0.0,00160,0.0,1
2.0,30.67,2.5,2.0,1.0,3.0,,2.25,0.0,0.0,0.0,1.0,2.0,00340,0.0,1
,18.58,5.71,2.0,1.0,4.0,,0.54,,,,0.0,0.0,00120,0.0,1
1.0,19.17,5.415,2.0,1.0,7.0,4.0,0.29,0.0,0.0,0.0,0.0,0.0,00080,484.0,1
1.0,18.17,10.0,3.0,3.0,11.0,4.0,,0.0,0.0,0.0,0.0,0.0,,0.0,1
2.0,24.58,13.5,3.0,,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1
2.0,16.25,0.835,2.0,,10.0,8.0,,1.0,0.0,,0.0,2.0,,0.0,1
2.0,,0.875,3.0,3.0,2.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,00280,204.0,1
2.0,23.92,0.585,,3.0,3.0,4.0,0.125,,0.0,0.0,0.0,0.0,,,1
2.0,17.67,,2.0,1.0,2.0,,0.25,0.0,,0.0,0.0,2.0,00080,0.0,1
1.0,16.50,1.25,2.0,1.0,11.0,8.0,0.25,0.0,,,0.0,,00108,98.0,1
2.0,23.25,,2.0,1.0,2.0,8.0,0.125,0.0,1.0,2.0,,,00000,,1
,17.58,10.0,2.0,,,4.0,0.165,0.0,1.0,1.0,,0.0,00120,1.0,1
1.0,0,1.5,2.0,1.0,6.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,,105.0,1
2.0,29.50,0.58,2.0,,13.0,8.0,0.29,0.0,1.0,1.0,,0.0,,2803.0,1
2.0,18.83,0.415,3.0,,2.0,8.0,,0.0,,,0.0,0.0,00200,1.0,1
,21.75,1.75,3.0,,,,0.0,0.0,,0.0,,,00160,0.0,1
2.0,23.00,0.75,2.0,1.0,10.0,8.0,0.5,0.0,0.0,0.0,1.0,2.0,00320,0.0,1
1.0,18.25,10.0,2.0,1.0,13.0,8.0,1.0,0.0,1.0,1.0,,0.0,00120,1.0,1
2.0,25.42,0.54,2.0,1.0,13.0,8.0,0.165,0.0,1.0,,0.0,,00272,444.0,1
2.0,35.75,2.415,2.0,1.0,13.0,8.0,0.125,0.0,,2.0,0.0,,00220,1.0,1
1.0,16.08,0.335,,,6.0,3.0,0.0,,1.0,1.0,0.0,,00160,126.0,1
1.0,31.92,3.125,,1.0,,3.0,3.04,,1.0,,,0.0,00200,4.0,1
2.0,,,2.0,1.0,6.0,3.0,,0.0,1.0,1.0,0.0,0.0,00070,6.0,1
2.0,32.92,,2.0,,1.0,8.0,1.75,0.0,1.0,2.0,1.0,0.0,00720,0.0,1
,,2.75,2.0,1.0,1.0,,0.665,0.0,1.0,1.0,0.0,0.0,00080,21.0,1
,22.17,12.125,2.0,1.0,2.0,,3.335,0.0,1.0,2.0,1.0,0.0,00180,173.0,1
,,,2.0,1.0,6.0,3.0,6.5,0.0,,1.0,0.0,0.0,00000,10.0,1
,18.25,0.165,2.0,1.0,4.0,,0.25,0.0,,0.0,,2.0,00280,0.0,1
2.0,23.42,1.0,2.0,1.0,2.0,,0.5,0.0,0.0,0.0,,,00280,0.0,1
,,2.875,,,,8.0,0.085,0.0,0.0,,0.0,0.0,00120,0.0,1
,24.75,13.665,,1.0,,4.0,,0.0,,,0.0,0.0,00280,1.0,1
2.0,48.75,26.335,3.0,,6.0,3.0,0.0,1.0,0.0,,1.0,0.0,,0.0,1
2.0,23.50,2.75,,1.0,6.0,,4.5,0.0,0.0,0.0,0.0,0.0,00160,25.0,1
2.0,18.58,10.29,2.0,,6.0,3.0,0.415,,0.0,0.0,0.0,0.0,00080,0.0,1
2.0,27.75,,2.0,,9.0,4.0,0.25,0.0,0.0,,1.0,2.0,00140,0.0,1
,31.75,3.0,3.0,3.0,8.0,5.0,0.0,,0.0,,0.0,0.0,00160,,1
1.0,,4.5,2.0,1.0,13.0,,1.0,0.0,,,1.0,0.0,00360,6.0,1
2.0,19.00,1.75,3.0,3.0,2.0,,2.335,,0.0,0.0,1.0,,00112,6.0,1
1.0,16.33,,,1.0,1.0,8.0,0.125,0.0,0.0,,0.0,0.0,00200,1.0,1
1.0,18.58,10.0,2.0,1.0,,8.0,0.415,0.0,0.0,0.0,0.0,0.0,,42.0,1
2.0,16.25,,3.0,,1.0,,0.25,0.0,0.0,0.0,0.0,0.0,00060,0.0,1
2.0,,0.75,,1.0,10.0,8.0,0.5,1.0,,0.0,1.0,2.0,00320,0.0,1
,21.17,0.25,3.0,3.0,2.0,4.0,,0.0,0.0,0.0,0.0,0.0,00280,,1
2.0,17.50,22.0,1.0,,6.0,,0.0,,0.0,0.0,1.0,,00450,100000.0,0
2.0,19.17,,3.0,3.0,,1.0,,,0.0,0.0,1.0,2.0,00500,1.0,0
2.0,36.75,0.125,,3.0,2.0,8.0,1.5,0.0,0.0,0.0,1.0,0.0,,,0
,21.25,1.5,2.0,1.0,13.0,8.0,1.5,0.0,0.0,0.0,0.0,,,8.0,0
1.0,18.08,0.375,1.0,2.0,3.0,3.0,10.0,0.0,0.0,0.0,1.0,2.0,00300,0.0,0
1.0,,0.375,2.0,1.0,3.0,8.0,0.375,0.0,0.0,0.0,,0.0,,44.0,0
2.0,48.58,0.205,3.0,,9.0,,0.25,1.0,,11.0,0.0,0.0,00380,2732.0,0
,,1.25,2.0,1.0,13.0,8.0,,0.0,0.0,0.0,0.0,,00120,0.0,1
1.0,29.50,1.085,3.0,3.0,14.0,8.0,1.0,0.0,,,,,00280,,1
2.0,30.17,1.085,3.0,,2.0,8.0,0.04,,0.0,0.0,0.0,0.0,00170,179.0,1
0.0,40.83,,2.0,1.0,7.0,1.0,,,0.0,0.0,0.0,2.0,01160,0.0,1
2.0,34.83,2.5,,3.0,13.0,,3.0,0.0,0.0,,0.0,2.0,00200,0.0,1
2.0,0,4.0,3.0,3.0,7.0,8.0,0.085,0.0,0.0,0.0,1.0,,00411,,1
2.0,20.42,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,1.0,0,0.0,1
1.0,33.25,2.5,,3.0,2.0,8.0,,0.0,0.0,0.0,,,00000,2.0,1
2.0,34.08,2.5,2.0,1.0,2.0,8.0,1.0,,,,0.0,0.0,00460,16.0,1
1.0,25.25,,2.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,1.0,,00180,1062.0,1
2.0,,,2.0,1.0,3.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,1
2.0,,0.75,2.0,1.0,11.0,4.0,0.165,0.0,,0.0,1.0,0.0,00220,251.0,1
,47.33,6.5,2.0,1.0,2.0,8.0,1.0,,,0.0,1.0,0.0,,228.0,1
1.0,34.83,1.25,3.0,3.0,,4.0,0.5,0.0,0.0,0.0,1.0,0.0,,,1
1.0,33.25,3.0,3.0,3.0,1.0,,2.0,0.0,0.0,0.0,,0.0,00180,0.0,1
,28.00,3.0,2.0,1.0,13.0,,0.75,0.0,,,1.0,,00300,,1
,39.08,4.0,2.0,1.0,2.0,8.0,,0.0,0.0,0.0,0.0,0.0,00480,0.0,1
,42.75,4.085,2.0,1.0,,8.0,0.04,0.0,0.0,0.0,,0.0,00108,100.0,1
2.0,26.92,2.25,2.0,1.0,7.0,1.0,0.5,0.0,,0.0,1.0,0.0,00640,4000.0,1
2.0,33.75,2.75,2.0,1.0,7.0,1.0,0.0,0.0,,,0.0,0.0,00180,0.0,1
2.0,38.92,,2.0,1.0,9.0,8.0,0.5,0.0,0.0,0.0,1.0,0.0,,2.0,1
2.0,62.75,,,1.0,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,00000,12.0,1
0.0,32.25,,2.0,1.0,2.0,8.0,0.25,0.0,0.0,0.0,,0.0,,122.0,1
2.0,26.75,4.5,3.0,,,1.0,2.5,0.0,0.0,0.0,0.0,,,1210.0,1
2.0,63.33,0.54,2.0,1.0,2.0,,0.585,1.0,1.0,3.0,,0.0,00180,0.0,1
2.0,27.83,1.5,2.0,1.0,13.0,8.0,2.25,,1.0,1.0,1.0,,00100,3.0,1
1.0,26.17,2.0,2.0,1.0,8.0,5.0,0.0,0.0,,0.0,1.0,0.0,,1.0,1
2.0,22.17,0.585,3.0,3.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,00100,0.0,1
2.0,,11.5,3.0,3.0,10.0,,1.5,0.0,0.0,0.0,,,,4000.0,1
2.0,30.75,1.585,2.0,1.0,4.0,,0.585,,0.0,0.0,1.0,2.0,00000,0.0,1
2.0,36.67,2.0,2.0,1.0,7.0,8.0,0.25,,0.0,0.0,1.0,0.0,00221,,1
1.0,16.00,0.165,2.0,1.0,,,1.0,0.0,1.0,2.0,1.0,0.0,00320,,1
2.0,41.17,1.335,2.0,1.0,4.0,8.0,0.165,,0.0,0.0,,0.0,00168,,1
1.0,19.50,0.165,2.0,1.0,,,0.04,0.0,0.0,0.0,1.0,0.0,00380,0.0,1
2.0,32.42,3.0,2.0,,4.0,8.0,0.165,0.0,0.0,0.0,1.0,0.0,00120,0.0,1
1.0,36.75,4.71,2.0,1.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,00160,0.0,1
1.0,30.25,,2.0,,9.0,,,0.0,0.0,0.0,1.0,2.0,00100,0.0,1
2.0,23.08,2.5,2.0,1.0,6.0,3.0,0.085,0.0,0.0,0.0,1.0,,00100,4208.0,1
,26.83,0.54,2.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,00100,0.0,1
2.0,16.92,0.335,3.0,3.0,9.0,8.0,0.29,0.0,0.0,0.0,0.0,2.0,00200,,1
2.0,24.42,,2.0,1.0,5.0,2.0,0.165,0.0,1.0,2.0,,0.0,00320,1300.0,1
2.0,,1.25,2.0,1.0,10.0,8.0,13.875,,1.0,,1.0,0.0,00352,112.0,1
1.0,22.75,6.165,2.0,,1.0,8.0,0.165,0.0,,0.0,0.0,0.0,00220,1000.0,1
2.0,,,,3.0,10.0,8.0,0.165,,0.0,0.0,,,,0.0,1
,23.58,11.5,,3.0,9.0,4.0,,0.0,0.0,0.0,,0.0,00020,,1
2.0,21.42,0.75,3.0,3.0,12.0,6.0,0.75,0.0,0.0,0.0,1.0,,,2.0,1
,,2.5,3.0,3.0,13.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,00280,0.0,1
2.0,26.33,13.0,2.0,1.0,5.0,,0.0,0.0,,0.0,1.0,0.0,00140,,1
1.0,45.00,,2.0,1.0,9.0,4.0,1.0,0.0,0.0,,1.0,,00240,0.0,1
2.0,26.25,1.54,2.0,1.0,13.0,8.0,0.125,0.0,,0.0,0.0,0.0,,0.0,1
0.0,28.17,0.585,,1.0,1.0,8.0,,,0.0,0.0,0.0,0.0,00260,1004.0,1
1.0,20.83,0.5,,3.0,5.0,2.0,1.0,0.0,0.0,,0.0,0.0,00260,,1
2.0,28.67,14.5,2.0,1.0,4.0,8.0,,,0.0,,0.0,0.0,,286.0,1
2.0,20.67,,3.0,3.0,2.0,,2.0,0.0,0.0,0.0,1.0,2.0,,0.0,1
2.0,34.42,,2.0,1.0,7.0,,0.125,0.0,0.0,0.0,1.0,0.0,00440,4500.0,1
2.0,33.58,0.25,2.0,1.0,7.0,1.0,,,0.0,0.0,1.0,2.0,00420,0.0,1
2.0,43.17,5.0,2.0,1.0,7.0,1.0,2.25,0.0,0.0,0.0,1.0,0.0,00141,0.0,1
1.0,,7.0,2.0,1.0,2.0,8.0,0.165,0.0,0.0,0.0,0.0,,00160,0.0,1
,,2.5,3.0,3.0,7.0,1.0,4.5,,0.0,0.0,,0.0,00200,,1
1.0,56.83,4.25,3.0,3.0,6.0,,5.0,0.0,0.0,0.0,1.0,0.0,00000,4.0,1
2.0,22.08,11.46,2.0,1.0,9.0,8.0,1.585,0.0,0.0,0.0,,0.0,00100,1212.0,1
2.0,34.00,5.5,3.0,3.0,2.0,8.0,1.5,0.0,0.0,0.0,1.0,,,,1
,22.58,1.5,3.0,3.0,1.0,8.0,0.54,0.0,0.0,0.0,1.0,0.0,00120,,1
2.0,21.17,,2.0,,2.0,8.0,0.5,0.0,,,1.0,2.0,00000,,1
2.0,26.67,14.585,2.0,1.0,7.0,1.0,,0.0,0.0,0.0,,0.0,00178,0.0,1
2.0,22.92,0.17,2.0,1.0,,8.0,,0.0,0.0,0.0,0.0,2.0,00000,0.0,1
2.0,15.17,7.0,2.0,,,8.0,1.0,0.0,0.0,0.0,0.0,0.0,00600,0.0,1
,39.92,,2.0,1.0,,1.0,0.21,0.0,0.0,,0.0,,00550,0.0,1
2.0,,12.5,,1.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,0.0,00720,0.0,1
2.0,,0.54,2.0,1.0,10.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,00120,1.0,1
2.0,41.17,1.25,3.0,3.0,13.0,8.0,0.25,0.0,0.0,0.0,,0.0,00000,195.0,1
,33.08,1.625,2.0,1.0,,8.0,0.54,0.0,0.0,0.0,,0.0,00000,,1
2.0,29.83,2.04,3.0,,14.0,,,0.0,0.0,0.0,0.0,,00128,1.0,1
1.0,23.58,0.585,3.0,,6.0,3.0,0.125,0.0,,0.0,,,,87.0,1
,26.17,12.5,3.0,,9.0,4.0,1.25,0.0,0.0,,,0.0,00000,,1
2.0,,2.085,2.0,1.0,2.0,8.0,,0.0,0.0,,0.0,0.0,,0.0,1
,20.75,5.085,,3.0,8.0,8.0,,0.0,,0.0,0.0,0.0,,,1
2.0,,,,1.0,2.0,8.0,0.29,,0.0,0.0,0.0,0.0,00220,,1
,51.92,,2.0,1.0,7.0,1.0,3.085,,0.0,0.0,1.0,0.0,00073,0.0,1
1.0,22.67,0.335,2.0,1.0,11.0,8.0,0.75,0.0,0.0,0.0,0.0,2.0,00160,0.0,1
,34.00,5.085,,3.0,7.0,1.0,1.085,,,,,,00480,,1
1.0,69.50,6.0,,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,1
1.0,,8.125,,3.0,,8.0,0.165,0.0,1.0,2.0,,0.0,0,18.0,1
,19.58,0.665,3.0,3.0,,8.0,1.0,0.0,,1.0,0.0,0.0,02000,,1
2.0,16.00,3.125,2.0,1.0,13.0,8.0,0.085,,1.0,1.0,,0.0,,6.0,1
2.0,17.08,0.25,2.0,1.0,11.0,,0.335,0.0,1.0,4.0,0.0,0.0,00160,8.0,1
2.0,31.25,2.835,2.0,,6.0,,0.0,,1.0,5.0,0.0,0.0,,,1
2.0,25.17,3.0,2.0,1.0,2.0,8.0,,0.0,1.0,1.0,0.0,,,,1
,22.67,0.79,,,7.0,8.0,0.085,0.0,0.0,0.0,0.0,0.0,00144,0.0,1
2.0,,,2.0,,7.0,1.0,,0.0,0.0,,0.0,2.0,00300,0.0,1
2.0,22.25,0.46,2.0,1.0,9.0,8.0,,0.0,0.0,0.0,,,00280,,1
1.0,22.25,1.25,3.0,,,,3.25,0.0,,0.0,0.0,0.0,,0.0,1
2.0,22.50,0.125,3.0,3.0,9.0,,0.125,,,,0.0,,00200,70.0,1
2.0,23.58,1.79,2.0,1.0,,8.0,0.54,0.0,0.0,0.0,1.0,0.0,00136,1.0,1
,38.42,0.705,2.0,1.0,2.0,,0.375,0.0,1.0,,0.0,,00225,500.0,1
,26.58,,,3.0,,3.0,0.0,0.0,0.0,0.0,1.0,0.0,00180,60.0,1
2.0,,2.5,2.0,1.0,,8.0,,0.0,0.0,0.0,1.0,0.0,00210,0.0,1
,20.42,1.085,2.0,1.0,11.0,8.0,1.5,,0.0,0.0,0.0,0.0,00108,,1
2.0,,1.25,2.0,1.0,,,,0.0,,0.0,,,00200,0.0,1
2.0,26.17,0.835,,1.0,3.0,8.0,1.165,0.0,0.0,0.0,0.0,0.0,00100,0.0,1
2.0,33.67,2.165,2.0,,2.0,8.0,,0.0,0.0,0.0,0.0,1.0,00120,0.0,1
2.0,24.58,,2.0,1.0,2.0,8.0,0.25,,0.0,0.0,0.0,0.0,00110,,1
,,,2.0,1.0,13.0,8.0,0.25,0.0,0.0,0.0,1.0,0.0,,50.0,1
,37.50,0.835,,1.0,5.0,,0.04,0.0,,0.0,0.0,0.0,00120,5.0,1
2.0,,2.29,2.0,1.0,6.0,3.0,0.29,0.0,,0.0,0.0,0.0,00200,3.0,1
2.0,33.58,0.335,3.0,3.0,3.0,8.0,0.085,0.0,0.0,0.0,0.0,0.0,00180,,1
2.0,51.83,3.0,3.0,3.0,6.0,3.0,1.5,,0.0,0.0,0.0,0.0,00180,4.0,1
2.0,22.92,3.165,3.0,,2.0,8.0,0.165,,0.0,0.0,0.0,0.0,00160,1058.0,1
2.0,21.83,1.54,2.0,,9.0,8.0,0.085,,0.0,0.0,1.0,0.0,00356,0.0,1
2.0,25.25,1.0,,1.0,1.0,8.0,0.5,,,0.0,0.0,0.0,00200,,1
2.0,58.58,2.71,2.0,1.0,2.0,,2.415,0.0,0.0,0.0,1.0,0.0,,0.0,1
2.0,,0.0,3.0,3.0,6.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,00045,1.0,1
2.0,19.58,,2.0,1.0,6.0,3.0,0.0,0.0,1.0,,0.0,0.0,00350,769.0,1
1.0,53.33,0.165,,1.0,6.0,,,,0.0,0.0,1.0,,,27.0,1
1.0,27.17,,2.0,1.0,6.0,3.0,0.0,0.0,1.0,1.0,,0.0,00092,300.0,1
2.0,,0.875,2.0,1.0,9.0,8.0,0.375,,1.0,2.0,1.0,,00174,3.0,1
,23.08,0.0,,1.0,9.0,,1.0,,1.0,11.0,0.0,2.0,,0.0,1
2.0,39.58,5.0,,1.0,6.0,3.0,0.0,0.0,1.0,,0.0,0.0,00017,1.0,1
2.0,30.58,2.71,3.0,3.0,10.0,8.0,0.125,0.0,0.0,,1.0,,00080,0.0,1
2.0,17.25,3.0,,,,8.0,,0.0,0.0,0.0,1.0,0.0,00160,40.0,1
1.0,17.67,,,3.0,8.0,3.0,0.0,0.0,0.0,,,0.0,00086,0.0,1
1.0,0,11.25,2.0,,6.0,3.0,0.0,,0.0,0.0,,0.0,0,,1
2.0,16.50,0.125,2.0,1.0,2.0,,0.165,,0.0,0.0,,0.0,00132,0.0,1
1.0,27.33,1.665,,1.0,6.0,3.0,0.0,0.0,0.0,,0.0,0.0,00340,1.0,1
,31.25,,2.0,,6.0,,0.0,,1.0,1.0,0.0,,,19.0,1
2.0,,7.0,2.0,1.0,2.0,8.0,0.5,0.0,0.0,,0.0,0.0,00000,0.0,1
2.0,,3.0,,3.0,7.0,1.0,7.0,,0.0,0.0,0.0,0.0,00000,1.0,1
2.0,39.50,1.625,,1.0,2.0,8.0,,0.0,0.0,0.0,0.0,0.0,00000,316.0,1
,36.50,4.25,,1.0,,8.0,3.5,0.0,0.0,,,0.0,,50.0,1
0.0,,,2.0,1.0,13.0,8.0,0.25,,0.0,,1.0,0.0,,,1
2.0,52.42,1.5,2.0,1.0,4.0,8.0,3.75,0.0,0.0,0.0,1.0,0.0,00000,350.0,1
2.0,,18.125,2.0,1.0,13.0,8.0,0.085,0.0,,0.0,0.0,0.0,,3552.0,1
2.0,34.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,0.0,1
2.0,29.67,0.75,3.0,,2.0,8.0,0.04,,0.0,,,0.0,00240,,1
2.0,36.17,,,,7.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,00210,687.0,1
2.0,,0.29,3.0,3.0,2.0,8.0,1.5,0.0,0.0,0.0,1.0,0.0,00160,0.0,1
1.0,24.50,2.415,3.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1
2.0,24.08,,2.0,,10.0,8.0,0.085,0.0,,4.0,0.0,0.0,00254,1950.0,1
2.0,21.92,0.5,2.0,1.0,2.0,8.0,0.125,0.0,0.0,0.0,0.0,0.0,00360,0.0,1
1.0,36.58,0.29,,,6.0,3.0,,0.0,,10.0,,,00200,,1
1.0,23.00,,2.0,1.0,8.0,5.0,0.0,0.0,1.0,1.0,0.0,,00200,53.0,1
1.0,27.58,,2.0,,10.0,8.0,2.79,0.0,1.0,,1.0,,00280,10.0,1
2.0,,,2.0,1.0,2.0,8.0,2.5,,,2.0,1.0,0.0,00160,41.0,1
1.0,30.42,1.375,2.0,1.0,13.0,4.0,0.04,0.0,1.0,3.0,0.0,0.0,00000,,1
2.0,,2.335,2.0,1.0,9.0,8.0,0.75,0.0,0.0,0.0,0.0,0.0,00180,,1
2.0,16.33,4.085,2.0,1.0,7.0,4.0,0.415,0.0,0.0,0.0,1.0,0.0,00120,0.0,1
1.0,21.92,11.665,2.0,1.0,9.0,4.0,0.085,0.0,0.0,,0.0,0.0,00320,5.0,1
2.0,21.08,4.125,,3.0,7.0,,,0.0,0.0,0.0,0.0,0.0,00140,100.0,1
2.0,17.42,6.5,,1.0,7.0,8.0,0.125,,0.0,0.0,0.0,0.0,,100.0,1
2.0,19.17,4.0,3.0,3.0,7.0,8.0,,0.0,0.0,0.0,1.0,0.0,00360,1000.0,1
,20.67,0.415,2.0,1.0,,8.0,0.125,0.0,0.0,0.0,,0.0,00000,,1
2.0,26.75,2.0,2.0,1.0,4.0,,,0.0,0.0,0.0,1.0,0.0,00080,0.0,1
,23.58,0.835,2.0,1.0,7.0,4.0,0.085,,,0.0,1.0,0.0,00220,,1
2.0,,2.5,3.0,3.0,7.0,,10.0,,0.0,0.0,,2.0,00200,0.0,1
2.0,22.75,11.5,,,,8.0,,0.0,0.0,0.0,0.0,0.0,00000,0.0,1
0.0,,2.71,3.0,3.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,2.0,,0.0,1
1.0,16.92,0.5,,1.0,7.0,8.0,0.165,0.0,1.0,6.0,1.0,0.0,00240,,1
,23.50,3.165,3.0,3.0,9.0,8.0,,0.0,1.0,,1.0,0.0,00280,80.0,1
1.0,17.33,9.5,2.0,1.0,1.0,,1.75,0.0,1.0,10.0,,0.0,00000,10.0,1
2.0,23.75,0.415,,3.0,2.0,8.0,0.04,,,2.0,0.0,0.0,00128,6.0,1
2.0,34.67,1.08,2.0,1.0,10.0,8.0,1.165,,0.0,,,2.0,00028,0.0,1
2.0,74.83,19.0,3.0,3.0,6.0,3.0,,0.0,1.0,2.0,0.0,0.0,00000,351.0,1
,,0.125,,3.0,9.0,8.0,0.085,0.0,0.0,0.0,0.0,,00216,2100.0,1
,24.50,13.335,3.0,3.0,,,0.04,0.0,0.0,0.0,1.0,0.0,,475.0,1
,18.83,,3.0,3.0,,3.0,0.0,,0.0,,,0.0,00180,1.0,1
,45.33,1.0,,,11.0,8.0,0.125,0.0,0.0,0.0,1.0,0.0,,0.0,1
1.0,47.25,0.75,2.0,,11.0,,2.75,1.0,1.0,1.0,0.0,0.0,00333,,0
,24.17,0.875,2.0,1.0,,8.0,4.625,1.0,1.0,2.0,1.0,0.0,,2000.0,0
2.0,,,2.0,1.0,,,6.5,1.0,1.0,14.0,0.0,0.0,00240,4607.0,0
1.0,,11.835,2.0,,,,6.0,1.0,,0.0,0.0,0.0,,0.0,0
,,4.415,3.0,3.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,00240,0.0,0
2.0,19.17,,2.0,1.0,13.0,8.0,,1.0,0.0,,0.0,0.0,,,0
,25.00,0.875,,1.0,14.0,4.0,,1.0,0.0,0.0,1.0,0.0,,5860.0,0
2.0,20.17,9.25,2.0,1.0,2.0,8.0,1.665,,1.0,3.0,1.0,0.0,00040,28.0,0
2.0,25.75,0.5,2.0,1.0,2.0,8.0,,1.0,1.0,5.0,1.0,0.0,,,0
,20.42,7.0,2.0,,2.0,8.0,1.625,1.0,1.0,3.0,0.0,0.0,00200,1391.0,0
2.0,0,4.0,2.0,1.0,14.0,8.0,5.0,1.0,1.0,3.0,1.0,0.0,00290,2279.0,0
2.0,39.00,5.0,2.0,1.0,3.0,,3.5,,,10.0,1.0,0.0,00000,0.0,0
1.0,64.08,0.165,2.0,1.0,6.0,3.0,0.0,1.0,1.0,,0.0,0.0,00232,100.0,0
2.0,,5.125,2.0,,14.0,8.0,4.75,1.0,1.0,2.0,,0.0,,7.0,0
,28.75,3.75,,,2.0,8.0,1.085,,1.0,1.0,,0.0,00371,0.0,0
2.0,31.33,19.5,2.0,1.0,2.0,,7.0,1.0,1.0,16.0,0.0,,00000,,0
1.0,18.92,9.0,2.0,1.0,1.0,8.0,,1.0,,2.0,,0.0,00088,591.0,0
1.0,,3.0,,1.0,11.0,4.0,,1.0,1.0,19.0,0.0,,00000,500.0,0
1.0,,12.0,2.0,,,8.0,2.0,1.0,1.0,,0.0,0.0,00220,19.0,0
2.0,21.00,4.79,3.0,3.0,13.0,,2.25,1.0,1.0,,1.0,0.0,00080,,0
2.0,,4.0,3.0,3.0,13.0,8.0,1.75,1.0,1.0,2.0,1.0,0.0,00120,1000.0,0
1.0,46.00,,2.0,1.0,8.0,,0.0,1.0,0.0,0.0,,0.0,00100,960.0,0
1.0,44.33,0.0,2.0,,2.0,8.0,,1.0,0.0,0.0,0.0,,00000,0.0,0
2.0,20.25,9.96,2.0,1.0,5.0,,,1.0,0.0,0.0,0.0,0.0,00000,0.0,0
2.0,22.67,2.54,,3.0,2.0,4.0,2.585,1.0,0.0,,0.0,0.0,00000,0.0,0
2.0,0,,,,14.0,,6.5,1.0,0.0,0.0,0.0,0.0,,,0
,60.92,5.0,2.0,1.0,1.0,8.0,,1.0,1.0,4.0,0.0,0.0,,99.0,0
,16.08,0.75,2.0,1.0,2.0,8.0,,1.0,1.0,5.0,1.0,,00352,690.0,0
,28.17,0.375,2.0,,11.0,8.0,,1.0,,4.0,,,00080,,0
2.0,39.17,,,1.0,14.0,8.0,0.125,1.0,1.0,5.0,1.0,0.0,00480,0.0,0
,20.42,7.5,2.0,,9.0,8.0,1.5,,1.0,1.0,0.0,0.0,00160,234.0,0
1.0,,5.29,2.0,,5.0,2.0,2.25,1.0,,5.0,,0.0,00099,500.0,0
2.0,22.83,3.0,2.0,,10.0,,1.29,1.0,1.0,,0.0,0.0,00260,,0
1.0,22.50,8.5,,1.0,11.0,8.0,1.75,1.0,,10.0,,0.0,00080,990.0,1
1.0,28.58,1.665,2.0,1.0,11.0,8.0,2.415,1.0,,,1.0,0.0,00440,0.0,1
,45.17,1.5,2.0,1.0,2.0,,2.5,1.0,0.0,,,,00140,0.0,1
2.0,41.58,1.75,2.0,1.0,9.0,8.0,0.21,1.0,,,0.0,0.0,00160,0.0,1
,57.08,0.335,2.0,,7.0,1.0,1.0,,,,,0.0,00252,2197.0,1
1.0,55.75,7.08,2.0,,,,6.75,1.0,1.0,3.0,1.0,0.0,00100,50.0,1
2.0,43.25,,2.0,1.0,11.0,4.0,0.21,,1.0,1.0,,0.0,00760,90.0,1
1.0,25.33,2.085,2.0,,2.0,4.0,,1.0,0.0,,1.0,0.0,00360,,1
1.0,24.58,,2.0,,1.0,4.0,1.75,1.0,0.0,0.0,0.0,0.0,00400,0.0,1
,43.17,2.25,2.0,1.0,7.0,1.0,0.75,1.0,0.0,,0.0,,00560,0.0,1
2.0,40.92,0.835,2.0,,,3.0,0.0,1.0,0.0,0.0,0.0,0.0,00130,1.0,1
,31.83,,2.0,,1.0,8.0,7.5,,,,,,00523,0.0,1
